,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
10,10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8573/9780857330963.jpg,Millennium Falcon Manual,Ryder Windham,Hardback,4.0,14.01,$,21.6,9780857330963,Transport,dataset/Transport/0000011.jpg,"A tribute to the favorite ""Star Wars"" ship provides layer-by-layer analyses of the Millennium Falcon's features, from laser cannons and cockpit controls to smuggling bays and Han Solo's speed modifications. On board pages."
11,11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0703/9780070362406.jpg,Stick and Rudder: An Explanation of the Art of Flying,Wolfgang Langewiesche,Hardback,4.5,21.67,$,36.0,9780070362406,Transport,dataset/Transport/0000012.jpg,"The classic first analysis of the art of flying is back, now in a special 50th anniversary limited edition with a foreword by Cliff Robertson. leatherette binding, and gold foil stamp. Langewiesche shows precisely what the pilot does when he or she flies, just how it's done, and why."
12,12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846683596.jpg,A Week at the Airport,Alain de Botton,Paperback,3.5,8.09,$,11.4,9781846683596,Transport,dataset/Transport/0000013.jpg,"The bestselling author of The Architecture of Happiness and The Art of Travel spends a week at an airport in a wittily intriguing meditation on the ""non-place"" that he believes is the centre of our civilization. In the summer of 2009, Alain de Botton was invited by the owners of Heathrow airport to become their first ever writer-in-residence. Given unprecedented, unrestricted access to wander around one of the world's busiest airports, he met travellers from all over the globe, and spoke with everyone from baggage handlers to pilots, and senior executives to the airport chaplain. Based on these conversations he has produced this extraordinary meditation on the nature of travel, work, relationships, and our daily lives. Working with the renowned documentary photographer Richard Baker, he explores the magical and the mundane, and the interactions of travellers and workers all over this familiar but mysterious ""non-place,"" which by definition we are eager to leave. Taking the reader through departures, ""air-side,"" and the arrivals hall, de Botton shows with his usual combination of wit and wisdom that spending time in an airport can be more revealing than we might think. From the Trade Paperback edition."
13,13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7870/9781787014305.jpg,Amazing Train Journeys,Lonely Planet,Hardback,4.0,19.71,$,25.2,9781787014305,Transport,dataset/Transport/0000014.jpg,"This beautiful and informative guide to 60 of the world's greatest train journeys includes classic long-distance trips like Western Canada's Rocky Mountaineer and Darwin to Adelaide's The Ghan, to little-known gems on regular commuting lines, plus planning advice to make each journey a reality.- Includes practical information like ticket options, timetables and stops- Full of inspiring photos and illustrated, colour route maps throughout- Combines route details with tips on what to pack and how to get there"
14,14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0717/9780071793865.jpg,Ace The Technical Pilot Interview 2/E,Gary V. Bristow,Paperback,4.0,20.88,$,29.95,9780071793865,Transport,dataset/Transport/0000015.jpg,* A comprehensive study guide providing pilots the answers they need to excel on their technical interview * Features nearly 1000 potential questions (and answers) that may be asked during the technical interview for pilot positions * Wide scope--ranges from light aircraft through heavy jet operations * Culled from interviewing practices of leading airlines worldwide * Includes interviewing tips and techniques
15,15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141017891.jpg,The World According to Clarkson,Jeremy Clarkson,Paperback,3.5,9.36,$,11.4,9780141017891,Transport,dataset/Transport/0000016.jpg,"The Publication Of The World According To Clarkson Launched A Publishing Phenomenon. Now, With Combined Sales Of Nearly 2.5 Million Copies, That Book And Its Bestselling Successor, And Another Thing, Are Joined By A Third Title That Brings The Clarkson Story Up-To-Date. Exasperated, Amused, Baffled And Enthusiastic, Clarkson'S Reflections On The Way Of The World Have Become Indispensable Reading To His Growing Legion Of Fans."
16,16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0619/9780061924699.jpg,Highest Duty,Chesley B. Sullenberger,Paperback,4.0,10.56,$,13.9,9780061924699,Transport,dataset/Transport/0000017.jpg,
17,17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465062881.jpg,Endurance,Alfred Lansing,Paperback,4.5,13.82,$,,9780465062881,Transport,dataset/Transport/0000018.jpg,"The harrowing tale of British explorer Ernest Shackleton's 1914 attempt to reach the South Pole, one of the greatest adventure stories of the modern age. In August 1914, polar explorer Ernest Shackleton boarded the Endurance and set sail for Antarctica, where he planned to cross the last uncharted continent on foot. In January 1915, after battling its way through a thousand miles of pack ice and only a day's sail short of its destination, the Endurance became locked in an island of ice. Thus began the legendary ordeal of Shackleton and his crew of twenty-seven men. When their ship was finally crushed between two ice floes, they attempted a near-impossible journey over 850 miles of the South Atlantic's heaviest seas to the closest outpost of civilization. In Endurance, the definitive account of Ernest Shackleton's fateful trip, Alfred Lansing brilliantly narrates the harrowing and miraculous voyage that has defined heroism for the modern age."
18,18,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9377/9781937715373.jpg,Zinn & the Art of Road Bike Maintenance,Lennard Zinn,Paperback,4.5,18.37,$,24.0,9781937715373,Transport,dataset/Transport/0000019.jpg,"Since its original landmark publication in 1980, A People's History of the United States has been chronicling American history from the bottom up, throwing out the official version of history taught in schools -- with its emphasis on great men in high places -- to focus on the street, the home, and the, workplace. Known for its lively, clear prose as well as its scholarly research, A People's History is the only volume to tell America's story from the point of view of -- and in the words of -- America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers. As historian Howard Zinn shows, many of our country's greatest battles -- the fights for a fair wage, an eight-hour workday, child-labor laws, health and safety standards, universal suffrage, women's rights, racial equality -- were carried out at the grassroots level, against bloody resistance. Covering Christopher Columbus's arrival through President Clinton's first term, A People's History of the United States, which was nominated for the American Book Award in 1981, features insightful analysis of the most important events in our history. Revised, updated, and featuring a new after, word by the author, this special twentieth anniversary edition continues Zinn's important contribution to a complete and balanced understanding of American history."
19,19,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4864/9780486444369.jpg,Luxury Cars Coloring Book,Bruce LaFontaine,Paperback,0.0,4.11,$,,9780486444369,Transport,dataset/Transport/0000020.jpg,"Imagine yourself behind the wheel of a Porsche 911 GT2 Twin-Turbo Coupe! Here are the cars most of us just dream about — sleek, fast, fabulous machines that cost a small fortune! Thirty precisely and accurately rendered illustrations portray the legendary luxury cars that race through our imaginations: Mercedes-Benz SLR McLaren Coupe, BMW Z8 Convertible, Maserati Spyder 2-door Convertible/Roadster, Rolls-Royce Phantom 4-door Sedan, Jaguar XJ220, Bugatti EB 110S 2-door Coupe, and other automotive marvels. Detailed captions provide specs and other information (including top speed and acceleration time). And they come in any colors you choose to make them!"
20,20,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9931/9780993191107.jpg,Soviet Bus Stops,Christopher Herwig,Hardback,4.5,19.95,$,24.0,9780993191107,Transport,dataset/Transport/0000021.jpg,"Photographer Christopher Herwig has covered more than 30,000 km by car, bike, bus and taxi in 13 former Soviet countries discovering and documenting these unexpected treasures of modern art. From the shores of the Black Sea to the endless Kazakh steppe, these bus stops show the range of public art from the Soviet era and give a rare glimpse into the creative minds of the time. These books represent the most comprehensive and diverse collection of Soviet bus stop design ever assembled from: Kazakhstan, Turkmenistan, Uzbekistan, Kyrgyzstan, Tajikistan, Ukraine, Moldova, Armenia, Abkhazia, Georgia, Lithuania, Latvia and Estonia. With a foreword by writer, critic and television presenter Jonathan Meades. --Volume 1."
21,21,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5669/9781566913102.jpg,How to Keep Your Volkswagen Alive,John Muir,Paperback,4.5,20.77,$,22.99,9781566913102,Transport,dataset/Transport/0000022.jpg,
22,22,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099589853.jpg,Skyfaring,Mark Vanhoenacker,Paperback,4.0,10.6,$,12.9,9780099589853,Transport,dataset/Transport/0000023.jpg,"'Flight, like any great love, is both a liberation and a return': an airline pilot captures the wonder of flight for the modern traveller. **Sunday Times Bestseller** **Book of the Week on Radio 4** Think back to when you first flew. When you first left the Earth, and travelled high and fast above its turning arc. When you looked down on a new world, captured simply and perfectly through a window fringed with ice. When you descended towards a city, and arrived from the sky as effortlessly as daybreak. In Skyfaring, airline pilot and flight romantic Mark Vanhoenacker shares his irrepressible love of flying, on a journey from day to night, from new ways of mapmaking and the poetry of physics to the names of winds and the nature of clouds. Here, anew, is the simple wonder that remains at the heart of an experience which modern travellers, armchair and otherwise, all too easily take for granted: the transcendent joy of motion, and the remarkable new perspectives that height and distance bestow on everything we love."
23,23,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9415/9781941529256.jpg,The Mindful Athlete,George Mumford,Paperback,4.0,13.75,$,,9781941529256,Transport,dataset/Transport/0000024.jpg,"The all-star adviser to athletes like Kobe Bryant and Michael Jordan shares his revolutionary, mindfulness-based program for elevating your game “George helped me understand the art of mindfulness. To be neither distracted or focused, rigid or flexible, passive or aggressive. I learned just to be.” —Kobe Bryant Michael Jordan credits George Mumford with transforming his on-court leadership of the Bulls, helping Jordan lead the team to six NBA championships. Mumford also helped Kobe Bryant, Andrew Bynum, and Lamar Odom and countless other NBA players turn around their games. A widely respected public speaker and coach, Mumford is sharing his own story and the strategies that have made these athletes into stars in The Mindful Athlete: The Secret to Pure Performance. His proven, gentle but groundbreaking mindfulness techniques can transform the performance of anyone with a goal, be they an Olympian, weekend warrior, executive, hacker, or artist. When Michael Jordan left the Chicago Bulls to play baseball in 1993, the team was in crisis. Coach Phil Jackson, a long-time mindfulness practitioner, contacted Dr. Kabat-Zinn to find someone who could teach mindfulness techniques to the struggling team—someone who would have credibility and could speak the language of his players. Kabat-Zinn led Jackson to Mumford and their partnership began. Mumford has worked with Jackson and each of the eleven teams he coached to become NBA champions. His roster of champion clients has since blossomed way beyond basketball to include corporate executives, Olympians, and athletes in many different sports. With a charismatic teaching style that combines techniques of engaged mindfulness with lessons from popular culture icons such as Yoda, Indiana Jones, and Bruce Lee, Mumford tells illuminating stories about his larger than life clients. His writing is down-to-earth and easy to understand and apply. The Mindful Athlete is an engrossing story and an invaluable resource for anyone looking to elevate their game, no matter what the pursuit, and includes a foreword by Phil Jackson."
24,24,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3043/9780304356744.jpg,Reach for the Sky,Paul Brickhill,Paperback,4.5,11.05,$,16.0,9780304356744,Transport,dataset/Transport/0000025.jpg,"Annotation. Writing is many things to many people. It is an expression of their thoughts, it is developing those special skills they posses as a storyteller.Whatever the motives of writers, most, if not all, write because it's that one thing that is so important to them at the time. That's all they want to do. That's all they want to be--a writer.How many reasons does a writer have to give to justify writing? Writing is individual, and it is unique. This book covers many different genera of writing, including writing the short story, writing a novel, a detective story, romance, and even writing for community radio and for the web.If you are just starting out in writing, this book covers so many different types of writing. If you are an experienced writer, this book will help you expand your writing fields."
25,25,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4081/9781408124772.jpg,Reeds Skipper's Handbook,Malcolm Pearson,Paperback,4.5,8.67,$,10.3,9781408124772,Transport,dataset/Transport/0000026.jpg,"The Reed's Skipper's Handbook has been a bestseller since first publication. The previous edition sold over 60,000 copies, and it is easy to see why: a handy pocket size, it is an aide-memoire of everything a boater needs to know at sea. Packed with a wide range of information in a concise form it is frequently recommended by Yachtmaster Instructors as a quick reference guide and as a revision aid for anyone taking their Day Skipper or Yachtmaster certificates. This 7th edition has been thoroughly revised, with updated text and illustrations throughout. 'A terrific little volume' Motorboat & Yachting 'A brilliant guide for beginners and an excellent refresher for more advanced skippers... a top rate book' Waterstones 'Everything you would need to know when going to sea in a yacht or small boat...a humdinger of a little book' Nautical Magazine Reeds Skipper's Handbook is a must for anyone going to sea in any size of boat – be they novice or old hand. Tens of thousands of skippers and crew have found it invaluable as a memory jogger and refresher whether at sea or on land."
26,26,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9650/9780965045025.jpg,Twist of the Wrist II,Keith Code,Paperback,4.5,19.46,$,23.0,9780965045025,Transport,dataset/Transport/0000027.jpg,"Here's everything you need to successfully improve your riding, novice or veteran, cruiser to sportbike rider. This book contains the very foundation skills for any rider looking for more confidence when cornering a motorcycle. Notes and comments by Eddie Lawson. Foreword by Wayne Rainey."
27,27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7432/9780743299794.jpg,Machine That Changed the World: The Story of Lean Production-- Toyota's Secret Weapon in the Global Car Wars That Is Now Revolutionizing World I,WOMACK,Paperback,4.0,15.04,$,,9780743299794,Transport,dataset/Transport/0000028.jpg,"When James Womack, Daniel Jones, and Daniel Roos wrote THE MACHINE THAT CHANGED THE WORLD in 1990, Japanese automakers, and Toyota in particular, were making a strong showing by applying the principles of lean production. However, the full power of lean principles was unproven, and they had not been applied outside of the auto industry. Today, the power of lean production has been conclusively proved by Toyota's unparalleled success, and the concepts have been widely applied in many industries. Based on MIT's pioneering global study of industrial competition, THE MACHINE THAT CHANGED THE WORLD offers a groundbreaking analysis of the entire lean business system, including product development, supplier management, sales, service, and production - an analysis even more relevant today as GM and Ford struggle to survive and a wide range of British abd American companies embrace lean production. A new Foreword by the authors brings the story up to date and details how their predictions were right. As a result, this reissue of a classic is as insightful and instructive today as when it was first published."
28,28,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409364801.jpg,The Aircraft Book,DK,Hardback,4.5,42.78,$,,9781409364801,Transport,dataset/Transport/0000029.jpg,Explores the history of the aircraft from the turn of the century to the present day.
29,29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349116037.jpg,Attention All Shipping,Charlie Connelly,Paperback,4.0,6.55,$,12.4,9780349116037,Transport,dataset/Transport/0000030.jpg,"This solemn, rhythmic intonation of the shipping forecast on BBC radio is as familiar as the sound of Big Ben chiming the hour. Since its first broadcast in the 1920s it has inspired poems, songs and novels in addition to its intended objective of warning generations of seafarers of impending storms and gales. Sitting at home listening to the shipping forecast can be a cosily reassuring experience. There's no danger of a westerly gale eight, veering southwesterly increasing nine later (visibility poor) gusting through your average suburban living room, blowing the Sunday papers all over the place and startling the cat. Yet familiar though the sea areas are by name, few people give much thought to where they are or what they contain. In ATTENTION ALL SHIPPING Charlie Connelly wittily explores the places behind the voice, those mysterious regions whose names seem often to bear no relation to conventional geography. Armchair travel will never be the same again."
30,30,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8411/9781841197920.jpg,A Brief History of British Sea Power,David Howarth,Paperback,4.0,5.81,$,12.4,9781841197920,Transport,dataset/Transport/0000031.jpg,"“A compelling, dramatic account of the Royal Navy's last great sea battle.” —Robert K. Massie, Pulitzer Prize–winning and New York Times–bestselling author of Dreadnought More than a century later, historians still argue about this controversial and misunderstood World War I naval battle off the coast of Denmark. It was the twentieth century’s first engagement of dreadnoughts—and while it left Britain in control of the North Sea, both sides claimed victory and decades of disputes followed, revolving around senior commanders Admiral Sir John Jellicoe and Vice Admiral Sir David Beatty. This book not only retells the story of the battle from both a British and German perspective based on the latest research, but also helps clarify the context of Germany’s inevitable naval clash and the aftermath after the smoke had cleared."
31,31,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9058/9781905864737.jpg,Adventure Motorcycling Handbook,Chris Scott,Paperback,4.5,17.65,$,24.9,9781905864737,Transport,dataset/Transport/0000032.jpg,"Every red-blooded motorcyclist dreams of making the Big Trip--this updated fifth edition shows them how. Choosing a bike, deciding on a destination, bike preparation, documentation and shipping, trans-continental route outlines across Africa, Asia and Latin America, and back-country riding in SW USA, NW Canada and Australia. Plus--first hand accounts of biking adventures worldwide."
32,32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7824/9781782439622.jpg,Lone Rider,Elspeth Beard,Paperback,4.5,8.81,$,12.4,9781782439622,Transport,dataset/Transport/0000033.jpg,"To the world he was merely Jim Larrimore, local rancher; but when outlaws tried to enter the picture, he donned his mask, climbed aboard his trusty steed Lightning, and became THE LONE RIDER. He enjoyed a long comic run, 26 issues of his own comics title, appearances in Swift Arrow #1-5, and a later rebirth known only as The Rider (#1-5). Only Gwandanaland Comics present his COMPLETE collection - every Lone Rider story, and more!GWANDANALAND COMICS:We specialize in character collections - many for the first time in print; we also publish individual issues from the past as well as complete comic title series'. We take your requests and create special collections never gathered together before! At Gwandanaland Comics we take the extra time to give you the best quality possible!NEW TITLES DAILY - WRITE FOR UPDATESgwandanaland@yahoo.comSEARCHING ONLINE? INCLUDE THE WORD ""GWANDANALAND"" TO MAKE SURE YOU HAVE THE MOST COMPLETE COLLECTION, THE HIGHEST QUALITY PAGES, AND THE BEST VALUE! WHAT WOULD YOU LIKE TO SEE IN PRINT?"
33,33,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7824/9781782437796.jpg,Road Racer,Michael Dunlop,Hardback,4.5,16.82,$,25.2,9781782437796,Transport,dataset/Transport/0000034.jpg,"In 'Power of the Pedal', read about cycling in Australia from the penny farthing to 21st-century commuters and Olympic stars. Bicycles changed our lives! They meant a new and faster way to get around and gave rise to ways of exploring, socialising and competing. In the nineteenth century cycling encouraged 'overlanders', adventurers who explored new routes through rugged terrain; cycling clubs that gave women a new kind of freedom to mix socially with men: and novel kinds of racing. In this book, cycling journalist Rupert Guinness reveals 200 years of the bike in Australian everyday life and the world of competition."
34,34,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786574596.jpg,Lonely Planet Trans-Siberian Railway,Lonely Planet,Paperback,4.0,15.72,$,20.1,9781786574596,Transport,dataset/Transport/0000035.jpg,"Lonely Planet Trans-Siberian Railway is your passport to the most relevant, up-to-date advice on what to see and skip, and what hidden discoveries await you. Gaze through the window at the unfurling landscape as you pass, glimpse Lake Baikal, Russia’s sacred sea, or gawk at Moscow’s Kremlin at one end of your journey and Beijing’s Forbidden City at the other end; all with your trusted travel companion. Begin your journey now!"
35,35,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141399690.jpg,A Night to Remember,Walter Lord,Paperback,4.0,9.75,$,12.9,9780141399690,Transport,dataset/Transport/0000036.jpg,"An absorbing, minute-by-minute account of the demise of the ""unsinkable"" Titanic, the massive luxury liner that housed a French ""sidewalk cafe"" and a grand staircase, among other extravagances, but failed to provide enough lifeboats for the 2,207 passengers on board. Reissue."
36,36,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/8995/9783899554915.jpg,The Ride,Chris Hunter,Hardback,5.0,66.58,$,,9783899554915,Transport,dataset/Transport/0000037.jpg,
37,37,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849907811.jpg,Top Gear: Dream Cars,Sam Philip,Hardback,4.5,29.41,$,30.9,9781849907811,Transport,dataset/Transport/0000038.jpg,"Whether it's through raw power, elegant curves or just an eye-watering price tag, there are a small number of cars that mark the pinnacle of automotive design - and now the experts at Top Gear have chosen the very best of them. 'Dream Cars' is a celebration of the cars that achieve that perfect blend of art and engineering."
38,38,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5712/9780571278893.jpg,Empire of the Clouds,James Hamilton-Paterson,Hardback,4.0,29.25,$,30.4,9780571278893,Transport,dataset/Transport/0000039.jpg,"In 1945 Britain was the world's leading designer and builder of aircraft - a world-class achievement that was not mere rhetoric. And what aircraft they were. The sleek Comet, the first jet airliner. The awesome delta-winged Vulcan, an intercontinental bomber that could be thrown about the sky like a fighter. The Hawker Hunter, the most beautiful fighter-jet ever built and the Lightning, which could zoom ten miles above the clouds in a couple of minutes and whose pilots rated flying it as better than sex. How did Britain so lose the plot that today there is not a single aircraft manufacturer of any significance in the country? What became of the great industry of de Havilland or Handley Page? And what was it like to be alive in that marvellous post-war moment when innovative new British aircraft made their debut, and pilots were the rock stars of the age? James Hamilton-Paterson captures that season of glory in a compelling book that fuses his own memories of being a schoolboy plane spotter with a ruefully realistic history of British decline - its loss of self confidence and power. It is the story of great and charismatic machines and the men who flew them: heroes such as Bill Waterton, Neville Duke, John Derry and Bill Beaumont who took inconceivable risks, so that we could fly without a second thought."
39,39,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849900546.jpg,Top Gear Supercars,,Hardback,4.5,24.57,$,30.9,9781849900546,Transport,dataset/Transport/0000040.jpg,"Guaranteed to rev the engines of car fans everywhere. Supercars are the purest and most extreme expression of automotive performance there is - and no one knows the territory better than the TopGear team. With ever-increasing power outputs, radical new designs, and eye-popping price tags, this book is a celebration of the supercar in all its fabulous glory. Supercars also brings this incredibly fast-moving, hi-octane world bang up to date. The world's best writers and photographers explore the latest developments in thrilling style - from the new generation of pure-electric cars that have raised the bar for zero emissions performance, to the crazy machines hell-bent on breaking the 300mph barrier ... this is TopGear Supercars. Buckle up. Are you ready?"
